Indicadores de las asignaturas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asignaturas vinculadas;;cambio de semestre, no viene en listado origen, aprobado Fase previa POD;;;
Fecha de generación: Thu Apr 15 16:18:46 CEST 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aaaaaa;asignaturas nuevas 21-22;;;;;
Año;Cod Centro;Centro;Cod Asignatura;Asignatura;NumAreas;Cod Area;Area;Cod Departamento;Departamento;Tipo Plan;Cod Plan;Plan;Nivel Experimentalidad;Tipo de asignatura;Clase;Ciclo;Curso;Periodo;CredTeoAsig;CredTotalAsig;Vínculo;Destino vínculo;Grupos;AlumPrev;Matriculados;MaxAnteriorActual;CredTeoArea;EncTeoArea;CredArea;Horas estud tipo1;Horas prof tipo1;Horas estud tipo2;Horas prof tipo2;Horas estud tipo3;Horas prof tipo3;Horas estud tipo4;Horas prof tipo4;Horas estud tipo5;Horas prof tipo5;Horas estud tipo6;Horas prof tipo6;Horas estud tipo7;Horas prof tipo7;Horas estud tipo8;Horas prof tipo8;Horas estud tipo9;Horas prof tipo9;Horas estud tipo10;Horas prof tipo10;Eprop;Easig;Econt;Eref;AlsProf;Contabiliza necesidades;EncargoCursoAnterior;EncAsignadoCursoAnt;AlumCursoMenos1;AlumCursoMenos2;AlumCursoMenos3;AlumCursoMenos4;AlumCursoMenos5;MotivoMantenerOptativa;MotivoCambioAlumPrev;MotivoCambioGrupos;ImpartidaCursoAnterior;EstadoFase0;EstadoFase1;EstadoFase2;Eprop-Econt;Numero subgrupos T2 ofertados 2021-2022;Numero subgrupos T3 ofertados 2021-2022;Numero subgrupos T2 ofertados 2020-2021;Numero subgrupos T3 ofertados 2020-2021;Diferencia T2 ;Diferencia T3 ;CAMBIOS;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25802;Informática;1;570;Lenguajes y Sistemas Informáticos;5007;Informática e Ingeniería de Sistemas;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;B;X;1;S1;0,00;6,00;-;0;2;99;0;126;0,000;0,00;6,000;35,000;70,000;10,000;40,000;15,000;90,000;0,000;0,000;0,000;0,000;57,000;38,000;28,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;238,00;0,00;237,60;233,00;9,98;S;238,00;233,00;114;126;127;123;106;-;;;S;;PRECUMPLIMENT;PENDIENTE;0,40;4;6;4;6;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25807;Materiales;1;065;Ciencia de los Materiales e Ingeniería Metalúrgica;5001;Ciencia y Tecnología de Materiales y Fluidos;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;1;S2;0,00;6,00;-;0;2;90;0;90;0,000;0,00;6,000;30,000;60,000;14,000;28,000;12,000;96,000;0,000;0,000;0,000;0,000;30,000;32,000;59,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;216,00;0,00;216,00;216,00;10,00;S;220,80;220,80;81;90;92;94;103;-;;;S;;GUARDADO;PENDIENTE;0,00;2;8;2;8;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25808;Expresión gráfica II;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S1;0,00;6,00;-;0;1;90;0;120;0,000;0,00;6,000;28,000;28,000;14,000;28,000;18,000;72,000;0,000;0,000;0,000;0,000;40,000;30,000;45,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;158,00;0,00;216,00;155,00;13,67;S;155,00;155,00;106;120;100;81;82;-;;;S;;GUARDADO;PENDIENTE;-58,00;2;4;2;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25812;Estadística y fiabilidad de producto;1;265;Estadística e Investigación Operativa;2007;Métodos Estadísticos;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;2;NOR;B;X;2;S2;0,00;6,00;-;0;1;82;0;82;0,000;0,00;6,000;30,000;30,000;0,000;0,000;30,000;120,000;0,000;0,000;0,000;0,000;0,000;0,000;88,000;0,000;2,000;0,000;0,000;0,000;0,000;0,000;150,00;0,00;147,60;147,60;13,12;S;150,00;150,00;81;82;79;69;72;-;;;S;;GUARDADO;PENDIENTE;2,40;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25813;Aspectos económicos y empresariales del diseño;1;650;Organización de Empresas;4012;Dirección y Organización de Empresas;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;2;NOR;B;X;2;S2;0,00;6,00;-;0;1;84;0;84;0,000;0,00;6,000;30,000;30,000;30,000;60,000;0,000;0,000;0,000;0,000;0,000;0,000;30,000;61,200;57,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;151,20;0,00;151,20;151,20;13,33;S;151,20;151,20;78;84;84;69;79;-;;;S;;GUARDADO;PENDIENTE;0,00;2;0;2;0;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25816;Tecnología eléctrica y electrónica;1;535;Ingeniería Eléctrica;5009;Ingeniería Eléctrica;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S2;0,00;6,00;-;0;1;84;0;84;0,000;0,00;6,000;45,000;45,000;0,000;0,000;15,000;90,000;0,000;0,000;0,000;0,000;18,000;50,000;67,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;185,00;0,00;201,60;185,00;10,90;S;185,00;185,00;91;78;90;74;78;-;;;S;;GUARDADO;PENDIENTE;-16,60;0;6;0;6;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25821;Oficina técnica;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;4;S1;0,00;6,00;-;0;1;67;0;67;0,000;0,00;6,000;30,000;30,000;15,000;30,000;15,000;60,000;0,000;0,000;0,000;0,000;70,000;40,000;15,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;160,00;0,00;160,80;160,00;10,05;S;160,00;160,00;69;66;72;65;81;-;;;S;;GUARDADO;PENDIENTE;-0,80;2;4;2;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25864;Estética e Historia del Diseño;1;465;Historia del Arte;3007;Historia del Arte;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;1;NOR;O;X;1;S1;0,00;6,00;-;0;2;88;0;88;0,000;0,00;6,000;48,000;96,000;12,000;48,000;0,000;0,000;0,000;0,000;0,000;0,000;45,000;27,000;42,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;171,00;0,00;132,00;132,00;12,35;S;171,00;171,00;91;86;86;83;98;-;;;S;;GUARDADO;PENDIENTE;39,00;4;0;4;0;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25865;Expresión Artística I;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;B;X;1;S1;0,00;6,00;-;0;2;87;0;87;0,000;0,00;6,000;28,000;56,000;0,000;0,000;30,000;120,000;2,000;8,000;0,000;0,000;60,000;24,000;20,000;0,000;10,000;0,000;0,000;0,000;0,000;0,000;208,00;0,00;208,80;202,00;10,04;S;202,00;202,00;83;87;79;83;86;-;;;S;;GUARDADO;PENDIENTE;-0,80;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25866;Física I;1;385;Física Aplicada;2002;Física Aplicada;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;B;X;1;S1;0,00;6,00;-;0;2;99;0;107;0,000;0,00;6,000;43,000;86,000;0,000;0,000;8,000;48,000;0,000;0,000;0,000;0,000;8,000;24,000;86,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;158,00;0,00;237,60;158,00;15,04;S;158,00;158,00;106;101;103;122;100;-;;;S;;GUARDADO;PENDIENTE;-79,60;0;6;0;6;0;0;;;;;;;
